Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
604,-115,16,0.01,0,0.0
605,-107,8,0.01,0,0.0
606,-105,6,0.01,0,0.0
607,-114,15,0.01,0,0.0
608,-105,6,0.01,0,0.0
609,-106,7,0.01,0,0.0
610,-100,1,0.01,0,0.0
611,-10,10,0.01,0,0.0
612,-112,13,0.01,0,0.0
613,-7,7,0.01,0,0.0
614,-1,1,0.01,0,0.0
615,-12,12,0.01,0,0.0
616,-108,9,0.01,0,0.0
617,-109,10,0.01,0,0.0
618,-106,7,0.01,0,0.0
619,-127,28,0.01,0,0.0
620,-13,13,0.01,0,0.0
621,-15,15,0.01,0,0.0
622,-107,8,0.01,0,0.0
623,-103,4,0.01,0,0.0
624,-4,4,0.01,0,0.0
625,-105,6,0.01,0,0.0
626,-108,9,0.01,0,0.0
627,-100,1,0.01,0,0.0
628,-103,4,0.01,0,0.0
629,-9,9,0.01,0,0.0
630,-100,1,0.01,0,0.0
631,-126,27,0.01,0,0.0
632,-1,1,0.01,0,0.0
633,-104,5,0.01,0,0.0
634,-107,8,0.01,0,0.0
635,-107,8,0.01,0,0.0
636,-100,1,0.01,0,0.0
637,-100,1,0.01,0,0.0
638,-107,8,0.01,0,0.0
639,-17,17,0.01,0,0.0
640,-100,1,0.01,0,0.0
641,-118,19,0.01,0,0.0
642,-100,1,0.01,0,0.0
643,-109,10,0.01,0,0.0
644,-13,13,0.01,0,0.0
645,-13,13,0.01,0,0.0
646,-116,17,0.01,0,0.0
647,-15,15,0.01,0,0.0
648,-108,9,0.01,0,0.0
649,-108,9,0.01,0,0.0
650,-19,19,0.01,0,0.0
651,-5,5,0.01,0,0.0
652,-107,8,0.01,0,0.0
653,-16,16,0.01,0,0.0
654,-19,19,0.01,0,0.0
655,-104,5,0.01,0,0.0
656,-100,1,0.01,0,0.0
657,-116,17,0.01,0,0.0
658,-8,8,0.01,0,0.0
659,-117,18,0.01,0,0.0
660,-100,1,0.01,0,0.0
661,-111,12,0.01,0,0.0
662,-100,1,0.01,0,0.0
663,-111,12,0.01,0,0.0
664,-106,7,0.01,0,0.0
665,-19,19,0.01,0,0.0
666,-101,2,0.01,0,0.0
667,-111,12,0.01,0,0.0
668,-112,13,0.01,0,0.0
669,-104,5,0.01,0,0.0
